id,text,label
1,RT Pak Jokowi Pernah bilang : Lahan Pak Bowok di Kalimantan Timur : 220.000 dan Aceh Tengah : 120.000 total = 340.000 Hektar. Inilah data yg diungkap Abah Anies dalam #DebatCapres Malam ini. Jd clear ya guys... #AniesMuhaimin2024 #AMINAjaDulu https://t.co/6A0w0GJlUA [RE BangPino__],Politik
2,@V/FLmIFIyENg58ypw0Mtaja5Z6SUNTXlYRxfkm6P5FU= Pilihan saya untuk mencoblos Pak Anies adalah pilihan untuk mendukung peningkatan infrastruktur sekolah di daerah terpencil.,Sosial Budaya
3,RT Inilah Kenyataannya...modern War yg harus di hadapi di Negeri ini... paparan data dan Fakta dari pak Anies https://t.co/z52uGK7hdC [RE Yurissa_Samosir],Pertahanan dan Keamanan
4,kiki_daliyo Ganjar Pranowo Ini cara #GanjarMerawatPancasila dengan melestarikan dolanan tradisional. 35fKswMXcA #Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Uang Saku Posyandu,Ideologi
5,"Coblos dengan hati nurani, guys. Ganjar Pranowo adalah pilihan yang tepat! Ajak keluarga, teman, dan tetangga buat nyoblos bareng, biar suasana pemilu makin meriah #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1",Politik
6,"Padahal dulu PDIP musuhin Anis, sekarang mepet. Dulu Jokowi lawan politik Prabowo, sekarang jd satu. Politik emang se menjijikkan itu..",Politik
7,@MFwJErSP/whIbubN581Nk10FBU78x4qWJM+i6HkhPLw= Ã°ÂŸÂ‘Âª keren nih pemimpin Indonesia Ganjar Mahfud Hebat #3GM #Coblos3 https://t.co/7NXYpHUqzs,Ideologi
8,RT Menhan Prabowo Tegaskan Pentingnya Ã¢Â€ÂœGiant Sea Wall - Askara https://t.co/JG4FlElJ8C #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE KasimS3654],Politik
9,"Bro, yang lagi nyari info buat Pemilu 2024, jangan sampe ketinggalan. Ganjar Pranowo - Mahfud MD bawa program kece: disabilitas bisa mandiri dan berprestasi, plus ada program 1 Desa 1 Mobil Akses. Kece, deh!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat",Politik
10,"RT Gabung Gaspoll Bro, Relawan Erick Thohir Banten Tegak Lurus Dukung Prabowo-Gibran - Tribun Jabar https://t.co/6sfhOlCwvf #MenangSeputaran [RE NegarakuApa]",Politik
11,Pertahanan adalah tentang melindungi nilai-nilai kita. Ini adalah bagian dari identitas kita. GARA-GARA PRABOWO #kodekita08 #MenataMasaDepan https://t.co/8j6xHXZse1,Politik
12,"RT Tak ada angin, tak ada hujan, tiba-tiba Sri Mulyani,Ã‚ Menteri Keuangan, bersuara lantang. Dia mengungkapkan lonjakan belanja alat utama sistem pertahanan (alutsista) oleh Menteri Pertahanan, Prabowo Subianto. Lompatan belanja alutsista bukan tanpa soal. Sri Mulyani membeberkan bahwa pengadaan alutsista telah menyebabkan melonjakan utang luar negeri pemerintah. Pasalnya, belanja yang dilakukan kementerian Prabowo itu dilakukan di luar anggaran yang telah diberikan pemerintah dari Anggaran Pendapatan dan Belanja Negara (APBN). Tidak menutup kemungkinan bila prabowo menjadi presiden akan lebih ugal-ugalan beli alutsista, pasti akan menggunakan skema pinjaman luar negeri. Akibatnya tahu sendiri beban utang luar negeri kita semakin memberatkan, dan rakyat yang jadi korban. https://t.co/b0AbL9YQw0 #AsalBukanPrabowo [RE triwul82]",Pertahanan dan Keamanan
13,"Sejalan dengan kebenaran! Ganjar pastikan bansos takkan hilang. KTP sakti, tonggak keadilan untuk semua. #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/pTpbUKUZVy",Politik
14,RT YANG JARANG TEREKSPOS MEDIA adab anies baswedan kepada penyandang disabilitas https://t.co/ta1iaGHvT1 [RE herculep638],Sosial Budaya
15,"Ganjar Pranowo, bersama Mahfud MD, siap menjawab panggilan sejarah Ganjar Mahfud Hebat #Coblos3 #3GM Memimpin Indonesia #GanjarMahfudM3nangDebat https://t.co/gQKv2nP3GQ",Politik
16,"RT Prabowo-Gibran punya tekad kuat dalam membrantas korupsi dengan sungguh"" melalui berbagai upaya. #YukPindah02 #PrabowoLawanKorupsi #RameRamePindahke02 https://t.co/NtlXaLyMYe [RE wisvky]",Politik
17,"Kabar baik buat Pilpres 2024, bro! Ganjar Pranowo janjiin program seru. 1 keluarga miskin 1 sarjana. Pasti bikin banyak orang punya harapan baru!#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/YLHX3O0Ur4",Politik
18,"RT @dbQGm3vDWxwsEH997UL7CXGYG40YlWJw8SCNE/oWHMM= @j4blnMLswhS7fJ8ue5UNOBVfdOcmtDbAa/GPYHSTRHE= @CYMC4RASfnY+ghrWaNT/EAywGnJn68glN32P6sXqAbQ= Kalimat ini seolah bijak, tapi tidak tepat. Rival politik biarlah jadi oposisi, jangan diajak masuk kekuasaan namun kemudian disandera dengan aneka kepentingan. Sudah lelah kita melihat oposisi yang lemah. Keseimbangan itu penting. [RE afifahafra79]",Politik
